id,from_team,from_x,from_y,from_frame,from_player_num,to_team,to_x,to_y,to_frame,to_player_num,Type,play
0,attack,75.38499028,47.42298558,28,4,attack,81.06956549,68.05039802,48,10,Pass,PSG [2]-1 Atalanta
1,attack,80.45746813,70.47074587,66,10,attack,93.07775048,67.37670133,96,7,Pass,PSG [2]-1 Atalanta
2,attack,93.07775048,67.37670133,96,7,attack,94.01367282,52.78747967,106,17,Pass,PSG [2]-1 Atalanta
3,attack,94.01367282,52.78747967,106,17,,,,,,Shot,PSG [2]-1 Atalanta
0,attack,57.55102041,30.25210084,0,23,attack,43.0785231,44.80415703,44,7,Pass,RB Leipzig [2]-1 Atletico Madrid
1,attack,43.0785231,44.80415703,44,7,attack,17.48256687,17.48685759,106,3,Pass,RB Leipzig [2]-1 Atletico Madrid
2,attack,17.48256687,17.48685759,106,3,attack,20.68228742,53.9405722,142,14,Pass,RB Leipzig [2]-1 Atletico Madrid
3,attack,17.32851227,55.77806683,160,14,,10.22401158,50.19139897,166,,Shot,RB Leipzig [2]-1 Atletico Madrid
0,attack,39.31968395,61.0723098,42,6,attack,30.4189751,56.48654151,56,18,Pass,Barcelona 1-[3] Bayern Munich
1,attack,30.4189751,56.48654151,56,18,attack,10.94280078,59.35646234,112,22,Pass,Barcelona 1-[3] Bayern Munich
2,attack,10.94280078,59.35646234,112,22,,,,,,Shot,Barcelona 1-[3] Bayern Munich
0,attack,50.94618373,19.45127261,52,22,attack,19.57687819,5.410559489,132,14,Pass,Barcelona 0-[1] Bayern Munich
1,attack,9.328948547,14.63958013,176,14,attack,19.17981396,53.89602463,216,25,Pass,Barcelona 0-[1] Bayern Munich
2,attack,19.17981396,53.89602463,216,25,attack,11.43707843,59.70166863,238,9,Pass,Barcelona 0-[1] Bayern Munich
3,attack,11.43707843,59.70166863,238,9,attack,12.88643439,54.59790214,256,25,Pass,Barcelona 0-[1] Bayern Munich
4,attack,12.88643439,54.59790214,256,25,,,,,,Shot,Barcelona 0-[1] Bayern Munich
0,defense,43.09661749,10.58555594,0,0,,36.8098966,20.37382989,12,,Pass,Manchester City 1-[2] Lyon
1,attack,38.8959789,25.71348306,36,25,attack,44.74043418,47.97679814,64,8,Pass,Manchester City 1-[2] Lyon
2,attack,47.61904762,47.68907563,80,8,attack,65.57281644,34.82968207,122,9,Pass,Manchester City 1-[2] Lyon
3,attack,79.70434612,43.17829229,168,9,,86.97282329,43.9378893,174,,Shot,Manchester City 1-[2] Lyon
0,attack,49.25170068,14.49579832,0,27,attack,34.91165937,25.7805287,22,26,Pass,Manchester City [1]-1 Lyon
1,attack,34.9260828,9.613000555,60,26,attack,0.952672775,26.90512497,136,7,Pass,Manchester City [1]-1 Lyon
2,attack,2.772803522,30.73348748,162,7,attack,13.73715483,42.09089298,182,17,Pass,Manchester City [1]-1 Lyon
3,attack,13.73715483,42.09089298,182,17,,,,,,Shot,Manchester City [1]-1 Lyon
0,attack,42.4784733,64.86669865,22,6,attack,61.99195156,27.89114054,52,32,Pass,PSG 0-[1] Bayern Munich
1,attack,68.27741575,24.74588067,82,32,attack,88.66926148,14.54617997,122,22,Pass,PSG 0-[1] Bayern Munich
2,attack,88.66926148,14.54617997,122,22,attack,85.44632235,39.43342782,142,25,Pass,PSG 0-[1] Bayern Munich
3,attack,85.44632235,39.43342782,142,25,attack,81.87600867,28.1828786,178,32,Pass,PSG 0-[1] Bayern Munich
4,attack,82.7023067,28.01441315,192,32,attack,94.41784056,57.0217956,226,29,Pass,PSG 0-[1] Bayern Munich
5,attack,94.41784056,57.0217956,226,29,,,,,,Shot,PSG 0-[1] Bayern Munich
0,defense,78.61528681,13.88501374,0,0,,63.99854399,33.07189254,46,,Pass,PSG 0-0 Bayern Munich - play 1
1,attack,63.99854399,33.07189254,46,8,attack,83.93845848,72.68426634,80,7,Pass,PSG 0-0 Bayern Munich - play 1
2,attack,88.67501141,65.92572798,132,7,,90.67042839,63.38889716,136,,Shot,PSG 0-0 Bayern Munich - play 1
0,attack,28.97959184,28.57142857,0,0,attack,35.26187636,56.09205477,22,8,Pass,PSG 0-0 Bayern Munich - play 2
1,attack,36.73315992,56.36510213,42,8,attack,80.32594026,92.03974838,114,7,Pass,PSG 0-0 Bayern Munich - play 2
2,attack,86.56069287,69.87255375,184,7,attack,94.91884445,76.96444094,218,0,Pass,PSG 0-0 Bayern Munich - play 2
3,attack,94.91884445,76.96444094,230,0,,,,,,Shot,PSG 0-0 Bayern Munich - play 2
0,defense,48.16326531,52.31092437,0,0,,46.527063,51.98062542,4,,Pass,PSG 0-0 Bayern Munich - play 3
1,attack,46.527063,51.98062542,4,3,attack,45.25741528,35.18781242,30,21,Pass,PSG 0-0 Bayern Munich - play 3
2,attack,45.25741528,35.18781242,30,21,attack,49.41815175,41.81605035,60,5,Pass,PSG 0-0 Bayern Munich - play 3
3,attack,49.41815175,41.81605035,60,5,attack,70.10624282,71.07456238,94,7,Pass,PSG 0-0 Bayern Munich - play 3
4,attack,76.59709736,74.43803344,118,7,attack,91.50785424,63.87613308,154,10,Pass,PSG 0-0 Bayern Munich - play 3
5,attack,91.50785424,63.87613308,154,10,,96.39919936,57.9442219,160,,Shot,PSG 0-0 Bayern Munich - play 3
7,attack,99.46448826,61.74041568,184,10,,98.39252942,57.1546854,192,,Pass,PSG 0-0 Bayern Munich - play 3
0,attack,20.54421769,71.8487395,0,0,attack,32.49506135,55.49278615,22,21,Pass,PSG 0-0 Bayern Munich - play 4
1,attack,32.49506135,55.49278615,22,21,attack,43.95300805,66.68920815,44,7,Pass,PSG 0-0 Bayern Munich - play 4
2,attack,43.95300805,66.68920815,44,7,attack,49.62626122,77.80841019,76,10,Pass,PSG 0-0 Bayern Munich - play 4
3,attack,76.33353326,51.71662781,164,10,attack,84.09597386,34.18083516,182,11,Pass,PSG 0-0 Bayern Munich - play 4
4,attack,86.26214712,36.35268018,202,11,attack,81.60623885,39.70836763,214,21,Pass,PSG 0-0 Bayern Munich - play 4
5,attack,81.96560774,39.87451259,228,21,attack,86.65280197,36.3223105,242,11,Pass,PSG 0-0 Bayern Munich - play 4
6,attack,89.98793807,36.36753958,258,11,,,,,,Shot,PSG 0-0 Bayern Munich - play 4
0,attack,67.91614218,20.40979453,30,27,attack,0.816326531,8.823529412,148,29,Pass,PSG 0-0 Bayern Munich - play 5
1,attack,7.909199966,17.16705844,226,29,,6.781546953,32.46949279,236,,Pass,PSG 0-0 Bayern Munich - play 5
